"item","family","group","qnty.sold","revenue","date"
"Stud Meal Combo","Main course","FOOD","276",8280,"2015-08-30"
"Buffet Meal","Main course","FOOD","135",2948,"2015-08-30"
"Student Breakfast","Breakfast","FOOD","83",2490,"2015-08-30"
"Stud Wok Meal","Main course","FOOD","72",2160,"2015-08-30"
"Open Miscellaneous","Open Miscellaneous","MISCELLANEOUS","2",2013,"2015-08-30"
"Stud Grill Meal","Main course","FOOD","54",1620,"2015-08-30"
"Buffet Lunch","Main course","FOOD","16",1440,"2015-08-30"
"Chicken Steak","Grill","FOOD","59",1416,"2015-08-30"
"Slice of the Day","Pizza","FOOD","274",1355,"2015-08-30"
"Open Food","Open Food","FOOD","22",1061.5,"2015-08-30"
"MEAT PLATTER","Main course","FOOD","33",990,"2015-08-30"
"Tenderloin Steak","Burgers","FOOD","32",960,"2015-08-30"
"Chicken Caesar","Salads","FOOD","38",950,"2015-08-30"
"Guest Meal Combo","Main course","FOOD","28",875,"2015-08-30"
"Classic Angus Burger","Burgers","FOOD","29",870,"2015-08-30"
"Margherita(V)","Pizza","FOOD","34",825,"2015-08-30"
"SERCO LUNCH","SERCO LUNCH","FOOD","75",750,"2015-08-30"
"BBQ Glazed Chicken","Sandwiches","FOOD","33",693,"2015-08-30"
"BLACK ANGUS CLUB 6 OZ","Burgers","FOOD","20",640,"2015-08-30"
"Homemade Beef Burger","Burgers","FOOD","30",600,"2015-08-30"
"Chicken Tikka","Sandwiches","FOOD","24",576,"2015-08-30"
"FYO SHAWARMA","Main course","FOOD","36",540,"2015-08-30"
"Guest Wok Meal","Main course","FOOD","15",525,"2015-08-30"
"Buffet Fruit Salad","Salads","FOOD","102",510,"2015-08-30"
"Masafi Water500ml","Water","BEVERAGE","495",492,"2015-08-30"
"SERCO DINNER","SERCO DINNER","FOOD","49",490,"2015-08-30"
"Falafel Tomato & Hummus(V)","Sandwiches","FOOD","27",486,"2015-08-30"
"Massaman Chicken","Main course","FOOD","20",480,"2015-08-30"
"Fresh Juice","Fresh Juices","BEVERAGE","121",476,"2015-08-30"
"Smoked Salmon","Sandwiches","FOOD","19",475,"2015-08-30"
"CHICKEN CEASAR SALAD","Salads","FOOD","14",448,"2015-08-30"
"SMOKED TURKEY S/W","Sandwiches","FOOD","13",442,"2015-08-30"
"Salmon Salad","Salads","FOOD","16",400,"2015-08-30"
"12 OZ CAFFE LATTE","Starbucks","FOOD","33",396,"2015-08-30"
"SERCO BREAKFAST","SERCO BREAKFAST","FOOD","38",380,"2015-08-30"
"WALK IN LUNCH","WALK IN LUNCH","FOOD","38",380,"2015-08-30"
"Side Salad","Salads","FOOD","95",372,"2015-08-30"
"NIVEA GENTLE FACE WASH 150ML","CS Facial Care","NON FOOD","12",342,"2015-08-30"
"Five a Day","Fresh Juices","BEVERAGE","14",336,"2015-08-30"
"12 OZ CAPPUCHINO","Starbucks","FOOD","27",324,"2015-08-30"
"Grilled Chicken Burger","Burgers","FOOD","13",312,"2015-08-30"
"California Rolls(6Pcs)","Sushi","FOOD","14",308,"2015-08-30"
"Fresh Fruit Pcs","Extras","FOOD","101",303,"2015-08-30"
"CHICKEN STACK","Burgers","FOOD","10",300,"2015-08-30"
"Open Beverage","Open Beverage","BEVERAGE","15",300,"2015-08-30"
"Stud Veg Meal","Veggie","FOOD","10",300,"2015-08-30"
"ALPEN MUESLI ORIGINAL 375GM","CS Cereal","FOOD","18",297,"2015-08-30"
"Take Away Box","Take Away Boxes","NON FOOD","99",297,"2015-08-30"
"16 OZ CAFFE LATTE","Starbucks","FOOD","21",294,"2015-08-30"
"12 OZ CAFFE AMERICANO","Starbucks","FOOD","29",290,"2015-08-30"
"STIR FRY CHICKEN","Main course","FOOD","10",290,"2015-08-30"
"PEACH & BASIL SMOOTHIE","Smoothies","BEVERAGE","16",288,"2015-08-30"
"Yogurt Muesli Honey","Yoghurt Pots","FOOD","18",288,"2015-08-30"
"Cereal Portion","Breakfast","FOOD","41",287,"2015-08-30"
"BRIE & TOMATO S/W","Sandwiches","FOOD","8",272,"2015-08-30"
"Beef sausage","Breakfast","FOOD","54",270,"2015-08-30"
"SWEET CHILLI SALMON SALAD","Sandwiches","FOOD","7",266,"2015-08-30"
"Hash Browns","Breakfast","FOOD","65",260,"2015-08-30"
"GILLETTE BLADE MACH 3 TURBO 4PCS","CS Mens Care","NON FOOD","5",247.5,"2015-08-30"
"16 OZ ICED CAFE AMERICANO","Starbucks","FOOD","20",240,"2015-08-30"
"CHICKEN ROCQUET CHEESE S/W","Sandwiches","FOOD","8",240,"2015-08-30"
"REUBENS S/W","Sandwiches","FOOD","8",240,"2015-08-30"
"16 OZ ICED CAFFE LATTE","Starbucks","FOOD","17",238,"2015-08-30"
"Yasai Itame","Main course","FOOD","9",234,"2015-08-30"
"Pesto Roasted Chicken","Sandwiches","FOOD","10",230,"2015-08-30"
"4 OZ BURGER COMBO","Burgers","FOOD","6",228,"2015-08-30"
"FRESH GREEN SALAD","Salads","FOOD","14",224,"2015-08-30"
"Grilled Halloumi(V)","Sandwiches","FOOD","11",220,"2015-08-30"
"Tandoori Chicken","Pizza","FOOD","6",216,"2015-08-30"
"AL AIN WATER 500ml","CS Water","BEVERAGE","215",215,"2015-08-30"
"GALLON WATER COUPON","CS Water","BEVERAGE","30",210,"2015-08-30"
"GRILLED CHICKEN & BACON S/W","Sandwiches","FOOD","6",210,"2015-08-30"
"Filter Coffee","Tea","FOOD","43",205,"2015-08-30"
"CEASAR CHICKEN WRAP","Wraps","FOOD","6",204,"2015-08-30"
"CROISSANT MINI","Dessert","FOOD","68",204,"2015-08-30"
"Fruit Salad","Yoghurt Pots","FOOD","17",204,"2015-08-30"
"16 OZ FRAPPUCINO CARAMEL","Starbucks","FOOD","10",200,"2015-08-30"
"ALWAYS DIAMOND ULTRA THIN 14 PCS","CS Sanitary Care","NON FOOD","11",198,"2015-08-30"
"DOVE BEAUTY CREAM 150ML","CS Body Care","NON FOOD","18",198,"2015-08-30"
"SELPAK FACIAL TISSUE 100 SHEET","CS Tissue & Toilet Rolls","NON FOOD","33",198,"2015-08-30"
"NIVEA WIPES GENTLE CLEANSING 25P","CS Tissue & Toilet Rolls","NON FOOD","7",196,"2015-08-30"
"Buffalo Chicken","Grill","FOOD","12",192,"2015-08-30"
"Extra Topping","Pizza","FOOD","38",190,"2015-08-30"
"LACNOR ORANGE 180ML","Fresh Juices","BEVERAGE","62",188,"2015-08-30"
"AL AIN WATER 1.5L","CS Water","BEVERAGE","122",183,"2015-08-30"
"7 OZ DOUBLE SHOT ICED SHAKEN","Starbucks","FOOD","13",182,"2015-08-30"
"Salmon Temaki (3 Pcs)","Sushi","FOOD","7",182,"2015-08-30"
"16 OZ CAFFE AMERICANO","Starbucks","FOOD","15",180,"2015-08-30"
"BRIE & BACON S/W","Sandwiches","FOOD","5",180,"2015-08-30"
"Large Salad","Salads","FOOD","10",180,"2015-08-30"
"MOROCCAN LAMB BURGER","Burgers","FOOD","5",180,"2015-08-30"
"Small Salad","Salads","FOOD","16",180,"2015-08-30"
"Yogurt Blueberry","Yoghurt Pots","FOOD","10",180,"2015-08-30"
"Yogurt Mango","Yoghurt Pots","FOOD","18",180,"2015-08-30"
"16 OZ CAPPUCHINO","Starbucks","FOOD","12",168,"2015-08-30"
"Filter Tea","Tea","FOOD","33",165,"2015-08-30"
"LIFEBUOY HW MILD CARE 200ML","CS Soap & Handwash","NON FOOD","15",165,"2015-08-30"
"DOVE SHOWER POMEGRANTE & LEMON 2","CS Bath & Shower","NON FOOD","9",162,"2015-08-30"
"Frid Rice W Chicken","Fried Rice","FOOD","5",160,"2015-08-30"
"Portion Protein","Main course","FOOD","16",160,"2015-08-30"
"TUNA & MAYO WRAP","Sandwiches","FOOD","5",160,"2015-08-30"
"TPasteCloseupMENTHOL120ml","CS Oral Care","NON FOOD","22",159.5,"2015-08-30"
"Tuna Sweetcorn","Pre Packed Sandwiches","FOOD","11",158,"2015-08-30"
"French Toast","Breakfast","FOOD","39",156,"2015-08-30"
"12 OZ VANILLA LATTE","Starbucks","FOOD","9",153,"2015-08-30"
"DR OETKER VEGETABLE PIZZA","CS Frozen Food","FOOD","6",153,"2015-08-30"
"LACNOR APPLE 180ML","Fresh Juices","BEVERAGE","38",152,"2015-08-30"
"ALPROSoyaMilkUnswtnd1L","CS Packet Juice","BEVERAGE","9",150.75,"2015-08-30"
"Dessert","Dessert","FOOD","37",148,"2015-08-30"
"Pancakes","Breakfast","FOOD","49",147,"2015-08-30"
"COCA COLA CAN","Softdrinks","BEVERAGE","36",144,"2015-08-30"
"Go Large","Pizza","FOOD","19",144,"2015-08-30"
"The Big Apple","Milk Shake","BEVERAGE","6",144,"2015-08-30"
"DvAntiDndrf400m","CS Shampoo & Conditioner","NON FOOD","7",143.5,"2015-08-30"
"GILLETTE FUSION RAZOR 1 UP","CS Mens Care","NON FOOD","4",143,"2015-08-30"
"AMERICAN 4 OZ","Burgers","FOOD","5",140,"2015-08-30"
"Guest Grill Meal","Main course","FOOD","4",140,"2015-08-30"
"Mixed Green Salad(V)","Salads","FOOD","7",140,"2015-08-30"
"NIVEA WIPES REFRESHING CLEANSING","CS Tissue & Toilet Rolls","NON FOOD","5",140,"2015-08-30"
"Pure VitaminC","Fresh Juices","BEVERAGE","5",140,"2015-08-30"
"NESCAFE RED MUG COFFEE 200GM","CS Coffee","FOOD","4",138,"2015-08-30"
"PAMPERS DIAPER 3-18","CS Baby Care","NON FOOD","5",137.5,"2015-08-30"
"GO PURE CHIPS ROSEMARY 125G","CS Organic Food","FOOD","8",134,"2015-08-30"
"Chicken Tandoori","Pre Packed Sandwiches","FOOD","13",130,"2015-08-30"
"Three Cheese Spring Onion","Pre Packed Sandwiches","FOOD","13",130,"2015-08-30"
"SIMPLE SHAWARMA","Main course","FOOD","16",128,"2015-08-30"
"Yoghurt","Yogurt","FOOD","32",128,"2015-08-30"
"16 OZ ICED WHITE CHOCOLATE MOCHA","Starbucks","FOOD","7",126,"2015-08-30"
"CROISSANT MEDIUM","PASTRIES","FOOD","18",126,"2015-08-30"
"DveShwrGelSensitive","CS Bath & Shower","NON FOOD","7",126,"2015-08-30"
"NIVEA EYE MAKEUP REMOVER 125ML","CS Facial Care","NON FOOD","5",125,"2015-08-30"
"NIVEA SUN LOTION SPF 50 200ML","CS Body Care","NON FOOD","2",122,"2015-08-30"
"LIFEBUOY HW TOTAL 10 200ML","CS Soap & Handwash","NON FOOD","11",121,"2015-08-30"
"ORAL B FLOSS UNWAXED","CS Oral Care","NON FOOD","11",121,"2015-08-30"
"Chicken Sweetcorn","Pre Packed Sandwiches","FOOD","12",120,"2015-08-30"
"LABELLO FRUITY SHINE 4.8GM","CS Facial Care","NON FOOD","10",120,"2015-08-30"
"Beef Bacon","Breakfast","FOOD","23",115,"2015-08-30"
"NIVEA FACE CLEAR STRIP 75ML","CS Facial Care","NON FOOD","5",115,"2015-08-30"
"CHICKEN WRAP COMBO","Burgers","FOOD","3",114,"2015-08-30"
"NIVEA SUN LOTION SPF 30 200ML","CS Body Care","NON FOOD","2",112,"2015-08-30"
"NIVEA WIPES PURE CLEANSING 25PCS","CS Tissue & Toilet Rolls","NON FOOD","4",112,"2015-08-30"
"BarillaPestoSml","CS Sauce","FOOD","4",110,"2015-08-30"
"FALAFEL BURGER","Burgers","FOOD","5",110,"2015-08-30"
"Greek Salad","Salads","FOOD","5",110,"2015-08-30"
"MODERN BAKE MANGO PISTA ENERGY B","CS Cereal","FOOD","20",110,"2015-08-30"
"DOUBLE ESSPRESSO","Starbucks","FOOD","9",108,"2015-08-30"
"Go Green","Milk Shake","BEVERAGE","6",108,"2015-08-30"
"AXE DEO ANARCHY 4 HIM 150ML","CS Deodrants","NON FOOD","6",105,"2015-08-30"
"Isabella(V)","Pizza","FOOD","3",105,"2015-08-30"
"Salmon Chirashi","Sushi","FOOD","5",105,"2015-08-30"
"MELONS GALORE","Smoothies","BEVERAGE","4",104,"2015-08-30"
"ARIEL 260GM BLUE","CS Laundry Care","NON FOOD","23",103.5,"2015-08-30"
"16 OZ ICED CARAMEL MACCHIATO","Starbucks","FOOD","6",102,"2015-08-30"
"Oatmeal Porridge","Breakfast","FOOD","34",102,"2015-08-30"
"CLASSIC FRIES","Main course","FOOD","20",100,"2015-08-30"
"TAMRAH CHOCO MILK ZIPPER BAG 100","CS Dry Fruits","FOOD","11",99,"2015-08-30"
"WEETABIX ORIGINAL 430GM","CS Cereal","FOOD","5",97.5,"2015-08-30"
"B.BAG CHEDDAR150g","CS Chips & Snacks","FOOD","8",96,"2015-08-30"
"Double Trouble","Milk Shake","BEVERAGE","4",96,"2015-08-30"
"Egg Cress Mayonnaise","Pre Packed Sandwiches","FOOD","12",96,"2015-08-30"
"Orange Pcs","CS Fresh Fruit","FOOD","47",94,"2015-08-30"
"GILLETTE RAZOR MACH 3 2UP","CS Mens Care","NON FOOD","4",93,"2015-08-30"
"BEST CAN PISTACHIOS SALTED 110GM","CS Nuts & Seeds","FOOD","7",92.75,"2015-08-30"
"Apple Green","CS Fresh Fruit","FOOD","46",92,"2015-08-30"
"GILLETTE BLADE 2 PCS MACH 3","CS Mens Care","NON FOOD","4",92,"2015-08-30"
"DveAntiDandrfSHAMP400ML","CS Shampoo & Conditioner","NON FOOD","4",90,"2015-08-30"
"MAGNUM I/C WHITE","CS Ice Cream","FOOD","12",90,"2015-08-30"
"ORAL B BRUSH NATURAL FRESH","CS Oral Care","NON FOOD","9",90,"2015-08-30"
"PPPPLEASE ME","Fresh Juices","BEVERAGE","4",88,"2015-08-30"
"Tuna Cheese Melt","Sandwiches","FOOD","4",88,"2015-08-30"
"NIVEA SCRUB SKIN REFINING 150ML","CS Facial Care","NON FOOD","3",87,"2015-08-30"
"REXONA DEO EXTRA COOL 150ML","CS Deodrants","NON FOOD","6",85.5,"2015-08-30"
"16 OZ ICED CHOCOLATE","Starbucks","FOOD","5",85,"2015-08-30"
"FALAFEL COMBO","Burgers","FOOD","3",84,"2015-08-30"
"French Fries","Extras","FOOD","14",84,"2015-08-30"
"GLAD GARBAGE BAG MEDIUM 35L X 30","CS Tissue & Toilet Rolls","NON FOOD","7",84,"2015-08-30"
"MCVITIES DIGESTIVE 250GM LIGHT","Biscuit & Cookies","FOOD","7",84,"2015-08-30"
"GILLETTE RAZOR TURBO MACH3 2UP","CS Mens Care","NON FOOD","2",83,"2015-08-30"
"GLTTEM3TRBORZR2UP","CS Mens Care","NON FOOD","2",83,"2015-08-30"
"16 OZ FRAPPUCINO VANILA","Starbucks","FOOD","4",80,"2015-08-30"
"BEEF MAIN","Main course","FOOD","6",80,"2015-08-30"
"MOUNTAIN DEW","Softdrinks","BEVERAGE","20",80,"2015-08-30"
"Veg Sushi 6 pcs","Sushi","FOOD","4",80,"2015-08-30"
"FETA & ROAST VEG PANINI","Sandwiches","FOOD","3",78,"2015-08-30"
"7 UP CAN","Softdrinks","BEVERAGE","19",76,"2015-08-30"
"Mexican Melt","Pizza","FOOD","2",76,"2015-08-30"
"12 OZ CARAMEL MACCHIATO","Starbucks","FOOD","5",75,"2015-08-30"
"BEEF MEAL","Main course","FOOD","3",75,"2015-08-30"
"STIR FRY GREENS","Main course","FOOD","3",75,"2015-08-30"
"WELLA CD MOISTURE 500ML","CS Shampoo & Conditioner","NON FOOD","3",73.5,"2015-08-30"
"B.BAG OAK SMOK150g","CS Chips & Snacks","FOOD","6",72,"2015-08-30"
"CheseTomatoCrossiant","Sandwiches","FOOD","4",72,"2015-08-30"
"Chicken Chirashi","Sushi","FOOD","4",72,"2015-08-30"
"CLOROX SPONGE SCOURER 4PCS","CS Cleaning Supplies","NON FOOD","11",71.5,"2015-08-30"
"Cold Cuts","Breakfast","FOOD","15",70,"2015-08-30"
"Lunch Box Token","CS Others","NON FOOD","2",70,"2015-08-30"
"SWEET POTATO WEDGES","Main course","FOOD","7",70,"2015-08-30"
"Toast","Breakfast","FOOD","72",70,"2015-08-30"
"SELPAK TOILET ROLL 7+2","CS Tissue & Toilet Rolls","NON FOOD","3",69.75,"2015-08-30"
"Add Cheese","Extras","FOOD","23",69,"2015-08-30"
"16 OZ CARAMEL MACCHIATO","Starbucks","FOOD","4",68,"2015-08-30"
"NIVEA DEO PEARL & BEAUTY 200ML","CS Deodrants","NON FOOD","4",68,"2015-08-30"
"ALPRO SOYAMilkVanilaFlvr1L","CS Packet Juice","BEVERAGE","4",67,"2015-08-30"
"GO PURE CHIPS UNSALTED 125G","CS Organic Food","FOOD","4",67,"2015-08-30"
"Roast Beef","Sandwiches","FOOD","3",66,"2015-08-30"
"WalkrsSBHighlandr200g","Biscuit & Cookies","FOOD","3",64.5,"2015-08-30"
"FRIED CHICKEN WRAP","Burgers","FOOD","2",64,"2015-08-30"
"Hawaiian","Pizza","FOOD","2",64,"2015-08-30"
"Portion Starch","Main course","FOOD","8",64,"2015-08-30"
"TEA BAG JASMINE GREEN","Tea","FOOD","8",64,"2015-08-30"
"CASTANIA CASHEW 60G","CS Nuts & Seeds","FOOD","6",63,"2015-08-30"
"PHOENIX ORANGE FIZZ 330ML","CS ORGANIC BEVERAGE","BEVERAGE","7",63,"2015-08-30"
"CORN FLAKES KELLOGS 500GM","CS Cereal","FOOD","3",61.5,"2015-08-30"
"PURELL REFRESHING HAND SANITIZER","CS Soap & Handwash","NON FOOD","5",61.25,"2015-08-30"
"16 OZ FRAPPUCINO WHITE MOCHA","Starbucks","FOOD","3",60,"2015-08-30"
"Yoghurt","Yogurt","FOOD","5",60,"2015-08-30"
"LAYS SALT 185GM","CS Chips & Snacks","FOOD","9",58.5,"2015-08-30"
"16 OZ VANILLA LATTE","Starbucks","FOOD","3",57,"2015-08-30"
"GILLETTE FOAM MENTHOL","CS Mens Care","NON FOOD","6",57,"2015-08-30"
"ALO ALLURE MANGO JUICE","Fresh Juices","FOOD","4",56,"2015-08-30"
"ALO APPEAL POMELO JUICE","Fresh Juices","FOOD","4",56,"2015-08-30"
"ALO ENRICH POMEGRANATE JUICE","Fresh Juices","FOOD","4",56,"2015-08-30"
"AlwaysUltrThin","CS Sanitary Care","NON FOOD","7",56,"2015-08-30"
"Lemon","CS Fresh Vegatables","FOOD","28",56,"2015-08-30"
"ORAL B BRUSH CLASSIC","CS Oral Care","NON FOOD","16",56,"2015-08-30"
"GATORADE LEMON PET 500ML","CS Sports & Energy Drinks","BEVERAGE","11",55,"2015-08-30"
"MODERN BAKE CRANBERRY ENERGY BAR","CS Cereal","FOOD","10",55,"2015-08-30"
"Mush/Spina/Tom.","Breakfast","FOOD","11",55,"2015-08-30"
"PANTENE SH DAILY CARE 200ML","CS Shampoo & Conditioner","NON FOOD","5",55,"2015-08-30"
"BAHLSEN LEIBNIZ MINIS CHOCO 100G","Biscuit & Cookies","FOOD","9",54,"2015-08-30"
"DVEGOFRESH BDYLTION NS250M","CS Body Care","NON FOOD","3",54,"2015-08-30"
"PRINGLES HOT & SPICY 165GM","CS Chips & Snacks","FOOD","6",54,"2015-08-30"
"AXE DEO EXCITE 150ML","CS Deodrants","NON FOOD","3",52.5,"2015-08-30"
"FAMILIA 50GM MUESLI CHOCO","CS Cereal","FOOD","15",52.5,"2015-08-30"
"MAGNUM I/C CLASSIC","CS Ice Cream","FOOD","7",52.5,"2015-08-30"
"16 OZ ICED CAFFE MOCHA","Starbucks","FOOD","3",52,"2015-08-30"
"AL MAZRAAFoulMedams400G","Breakfast","FOOD","13",52,"2015-08-30"
"GLAD GARBAGE BAG LARGE 110L X 20","CS Tissue & Toilet Rolls","NON FOOD","4",52,"2015-08-30"
"LACNOR COCKTAIL 180ML","Fresh Juices","BEVERAGE","13",52,"2015-08-30"
"TUNA NICOISE SALAD","Salads","FOOD","2",52,"2015-08-30"
"12 OZ HOT CHOCOLATE","Starbucks","FOOD","3",51,"2015-08-30"
"AXE DEO GOLD TEMPTATION 150ML","CS Deodrants","NON FOOD","3",51,"2015-08-30"
"CLOSE UP DEEP ACTION120ml","CS Oral Care","NON FOOD","6",51,"2015-08-30"
"FRUIT & FIBRE KELLOGS 375GM","CS Cereal","FOOD","3",51,"2015-08-30"
"LifebuoyAbWetWipes","CS Tissue & Toilet Rolls","NON FOOD","6",51,"2015-08-30"
"NIVEA DEO FEMALE BLACK & WHITE 2","CS Deodrants","NON FOOD","3",51,"2015-08-30"
"EARL GREY LOOSE TEA","Tea","FOOD","5",50,"2015-08-30"
"GATORADE ORANGE PET 500ML","CS Sports & Energy Drinks","BEVERAGE","10",50,"2015-08-30"
"GATORADE PINK LEMONDAE PET 500ML","CS Sports & Energy Drinks","BEVERAGE","10",50,"2015-08-30"
"NIVEA FACE GENTLE TONER 200ML","CS Facial Care","NON FOOD","2",50,"2015-08-30"
"SCONES","Dessert","FOOD","5",50,"2015-08-30"
"NIVEA SUN LOTION SPF 20 200ML","CS Body Care","NON FOOD","1",48.5,"2015-08-30"
"7 UP DIET CAN","Softdrinks","BEVERAGE","12",48,"2015-08-30"
"B.BAG SEA SALT150g","CS Chips & Snacks","FOOD","4",48,"2015-08-30"
"Cappuccino","Nespresso","FOOD","4",48,"2015-08-30"
"Espresso Doppio","Coffee","BEVERAGE","3",48,"2015-08-30"
"LACNOR MILK STRAWBERRY","Flavoured Milk","BEVERAGE","12",48,"2015-08-30"
"Mixed Juice","Fresh Juices","BEVERAGE","3",48,"2015-08-30"
"PEPSI CAN","Softdrinks","BEVERAGE","12",48,"2015-08-30"
"Soup","Extras","FOOD","8",48,"2015-08-30"
"STRAIGHT DUTCH","Smoothies","BEVERAGE","4",48,"2015-08-30"
"Super Food Salad (V)","Salads","FOOD","2",48,"2015-08-30"
"NIVEA SUN LOTION SPF 15 200ML","CS Body Care","NON FOOD","1",47.5,"2015-08-30"
"JDS BELGIAN COCOLATE THINS","Biscuit & Cookies","FOOD","3",46.5,"2015-08-30"
"NESCAFE GOLD COFFEE 200GM","CS Coffee","FOOD","1",46.5,"2015-08-30"
"GLAD GARBAGE BAG SMALL 20L X 30","CS Bags/Foil/Wraps","NON FOOD","5",46.25,"2015-08-30"
"AL AIN WATER 500ML","Water","BEVERAGE","46",46,"2015-08-30"
"12 OZ CAFFE MOCHA","Starbucks","FOOD","3",45,"2015-08-30"
"12OZ WHITE CHOCOLATE MOCHA","Starbucks","FOOD","3",45,"2015-08-30"
"MAGNUM I/C ALMOND","CS Ice Cream","FOOD","6",45,"2015-08-30"
"Mash and Gravy","Extras","FOOD","5",45,"2015-08-30"
"NATURE VALLEY OATS & HONEY","CS Cereal","FOOD","15",45,"2015-08-30"
"SAN PELLEGRINO WATER 1000ML","CS Water","BEVERAGE","5",45,"2015-08-30"
"TORCH CLUB STEAK S/W","Sandwiches","FOOD","1",45,"2015-08-30"
"Banana Shake","Milk Shake","BEVERAGE","2",44,"2015-08-30"
"LACNOR MILK BANANA","Flavoured Milk","BEVERAGE","11",44,"2015-08-30"
"LUX HW VELVET TOUCH 250ML","CS Soap & Handwash","NON FOOD","4",44,"2015-08-30"
"Pear","CS Fresh Fruit","FOOD","22",44,"2015-08-30"
"PEPSI DIET CAN","Softdrinks","BEVERAGE","11",44,"2015-08-30"
"Smoked Turkey Ham Pasta","Salads","FOOD","2",44,"2015-08-30"
"DURACELL BATTERY AA TURBO 2S","CS Others","NON FOOD","6",43.5,"2015-08-30"
"BEST CAN MACADEMIA 110G","CS Dry Fruits","FOOD","2",42.5,"2015-08-30"
"GILLETTE BLADE 4 PCS MACH 3","CS Mens Care","NON FOOD","1",42.5,"2015-08-30"
"12 OZ SOYA VANILLA LATTE","Coffee","FOOD","2",42,"2015-08-30"
"ALO EXPOSED ALO JUICE","Fresh Juices","FOOD","3",42,"2015-08-30"
"Brownie","Dessert","FOOD","3",42,"2015-08-30"
"GALLO RISOTTO PRONTO SAFFRON 175","CS Coocking & Baking","FOOD","3",42,"2015-08-30"
"GO PURE CHIPS BLACK PEPPER & SEA","CS Organic Food","FOOD","3",41.25,"2015-08-30"
"COCO POPS KELLOGS 375GM","CS Cereal","FOOD","2",41,"2015-08-30"
"karimOilCorn1.8L","CS Coocking & Baking","FOOD","2",41,"2015-08-30"
"PNT SH ANTI HAIRFALL 400ml","CS Shampoo & Conditioner","NON FOOD","2",41,"2015-08-30"
"PNT SH CLASSIC CLEAN 400ml","CS Shampoo & Conditioner","NON FOOD","2",41,"2015-08-30"
"PNT SH SMOOTH & SILKY 400ml","CS Shampoo & Conditioner","NON FOOD","2",41,"2015-08-30"
"NIVE ENERGY FRESH150ML","CS Deodrants","NON FOOD","3",40.5,"2015-08-30"
"EVIAN WATER 330ML","CS Water","BEVERAGE","10",40,"2015-08-30"
"HIBISCUS ICED TEA","Tea","FOOD","5",40,"2015-08-30"
"KNORR CAS CREAM OF VEG20g","CS Packet Food","FOOD","5",40,"2015-08-30"
"PEAR DRAGON LOOSE TEA","Tea","FOOD","4",40,"2015-08-30"
"SINGLE ESSPRESSO","Starbucks","FOOD","4",40,"2015-08-30"
"THE BERRY CO GOJI BERRY JUICE","Packet Juice","BEVERAGE","5",40,"2015-08-30"
"THREE CHEESE","Sandwiches","FOOD","4",40,"2015-08-30"
"Tuna Maki(6pcs)","Sushi","FOOD","2",40,"2015-08-30"
"VEG BURGER","Burgers","FOOD","2",40,"2015-08-30"
"BISQUINI TIN CRANBERRY COOKIES 1","Biscuit & Cookies","FOOD","3",39,"2015-08-30"
"ClearHerbFusionWmen","CS Shampoo & Conditioner","NON FOOD","3",39,"2015-08-30"
"SMACKS HONEY KELLOGS 375GM","CS Cereal","FOOD","2",39,"2015-08-30"
"SNAPPLE FRUIT PUNCH JUICE","CS Packet Juice","BEVERAGE","7",38.5,"2015-08-30"
"LUX BW AQUA SPARKLE 250ML","CS Bath & Shower","NON FOOD","3",38.25,"2015-08-30"
"DOVE BODY LOTION ALMOND CREAM 25","CS Body Care","NON FOOD","2",38,"2015-08-30"
"LUX SUNLIGHT LEMON 750ML","CS Dishwashing","NON FOOD","4",38,"2015-08-30"
"AlwaysUltraFreshExLong7","CS Sanitary Care","NON FOOD","5",37.5,"2015-08-30"
"DPearl&BeutyRol","CS Deodrants","NON FOOD","3",37.5,"2015-08-30"
"16 OZ ICED VANILLA LATTE","Starbucks","FOOD","2",36,"2015-08-30"
"Blue Cheese & Cucumber(V)","Sandwiches","FOOD","2",36,"2015-08-30"
"COCA COLA DIET CAN","Softdrinks","BEVERAGE","9",36,"2015-08-30"
"DOVE BODY LOTION ESSENTIAL NOURI","CS Body Care","NON FOOD","2",36,"2015-08-30"
"Eggplant Maki(6pcs)","Sushi","FOOD","2",36,"2015-08-30"
"FARM FRESH EGGS WHITE 6PCS","CS Eggs","FOOD","8",36,"2015-08-30"
"ICED SOYA CAFFE LATTE 16 OZ","Coffee","FOOD","2",36,"2015-08-30"
"LUX BW MAGICAL BEAUTY 250ML","CS Bath & Shower","NON FOOD","3",36,"2015-08-30"
"LUX BW SOFT TOUCH 250ML","CS Body Care","NON FOOD","3",36,"2015-08-30"
"MAGNUM I/C DOUBLE CHOCOLATE","CS Ice Cream","FOOD","4",36,"2015-08-30"
"MCVITIES DIGESTIVE LIGHT 400GM","Biscuit & Cookies","FOOD","2",36,"2015-08-30"
"MIRINDA ORANGE CAN","Softdrinks","BEVERAGE","9",36,"2015-08-30"
"NIVEA HAND WASH CRü¾Ž†Œ¼ME SOFT 250ML","CS Soap & Handwash","NON FOOD","3",36,"2015-08-30"
"ORAL B BRUSH MAXI CLEAN","CS Oral Care","NON FOOD","6",36,"2015-08-30"
"PERRIER WATER 330ML","Water","BEVERAGE","6",36,"2015-08-30"
"PHOENIX LEMONADE 330ML","CS ORGANIC BEVERAGE","BEVERAGE","4",36,"2015-08-30"
"SMINT POCKET PEPPERMINT","CS Mint & Gum","FOOD","6",36,"2015-08-30"
